epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.2819,0.8971,0.318,0.8578
2,0.0407,0.9881,0.4801,0.849
3,0.0177,0.9959,0.1866,0.93
4,0.0119,0.9982,0.2932,0.9081
5,0.0062,1.0,0.5606,0.86
6,0.0048,0.9995,0.4108,0.8928
7,0.0049,0.9995,0.4479,0.8818
8,0.0031,0.9995,0.3686,0.9037
9,0.0173,0.9963,0.4484,0.8818
10,0.021,0.9931,0.6098,0.8359
11,0.0184,0.9954,0.6601,0.8403
12,0.0211,0.9959,0.4769,0.8643
13,0.0144,0.9963,0.3782,0.9147
14,0.005,0.9991,0.2775,0.9212
15,0.0036,1.0,0.4626,0.884
